x,y_obs,weight,y_calc,y_bkg,Q,phase 1,phase 2
10.0019,80,0.0125,108.636,108.636,0.71109,1.804377506,2.003209027
10.016,86,0.0116279,108.628,108.628,0.712095,2.461600211,3.271214529
10.0302,88,0.0113636,108.62,108.62,0.7131,2.638873968,3.83584163
10.0444,75,0.0133333,108.611,108.611,0.714105,2.900181542,4.006418055
10.0585,84,0.0119048,108.603,108.603,0.71511,3.01104864,4.626214176
10.0727,88,0.0113636,108.595,108.595,0.716114,3.196785149,5.041309199
10.0869,102,0.00980392,108.586,108.586,0.717119,3.608744648,
10.1011,83,0.0120482,108.578,108.578,0.718124,3.921060213,
10.1152,85,0.0117647,108.57,108.57,0.719129,4.059823156,
10.1294,104,0.00961538,108.561,108.561,0.720134,4.145237575,
10.1436,104,0.00961538,108.553,108.553,0.721138,4.156233046,
10.1577,98,0.0102041,108.545,108.545,0.722143,4.470649771,
10.1719,102,0.00980392,108.536,108.536,0.723148,4.57065303,
10.1861,108,0.00925926,108.528,108.528,0.724153,4.699957593,
10.2002,92,0.0108696,108.52,108.52,0.725157,4.923200422,
10.2144,95,0.0105263,108.511,108.511,0.726162,5.068065841,
10.2286,94,0.0106383,108.503,108.503,0.727167,5.088093829,
10.2427,85,0.0117647,108.494,108.494,0.728171,5.262784098,
10.2569,114,0.00877193,108.486,108.486,0.729176,5.277725771,
10.2711,83,0.0120482,108.478,108.478,0.730181,,
10.2853,96,0.0104167,108.469,108.469,0.731185,,
10.2994,82,0.0121951,108.461,108.461,0.73219,,
10.3136,109,0.00917431,108.453,108.453,0.733195,,
10.3278,101,0.00990099,108.444,108.444,0.734199,,
10.3419,107,0.00934579,108.436,108.436,0.735204,,
10.3561,105,0.00952381,108.427,108.427,0.736209,,
10.3703,80,0.0125,108.419,108.419,0.737213,,
10.3844,130,0.00769231,108.411,108.411,0.738218,,
10.3986,90,0.0111111,108.402,108.402,0.739222,,
10.4128,84,0.0119048,108.394,108.394,0.740227,,
10.427,98,0.0102041,108.385,108.385,0.741231,,
10.4411,106,0.00943396,108.377,108.377,0.742236,,
10.4553,105,0.00952381,108.368,108.368,0.74324,,
10.4695,90,0.0111111,108.36,108.36,0.744245,,
10.4836,86,0.0116279,108.352,108.352,0.745249,,
10.4978,95,0.0105263,108.343,108.343,0.746253,,
10.512,88,0.0113636,108.335,108.335,0.747258,,
10.5261,85,0.0117647,108.326,108.326,0.748262,,
10.5403,112,0.00892857,108.318,108.318,0.749267,,
10.5545,95,0.0105263,108.309,108.309,0.750271,,
10.5686,68,0.0147059,108.301,108.301,0.751275,,
10.5828,108,0.00925926,108.293,108.293,0.75228,,
10.597,87,0.0114943,108.284,108.284,0.753284,,
10.6112,76,0.0131579,108.276,108.276,0.754289,,
10.6253,91,0.010989,108.267,108.267,0.755293,,
10.6395,79,0.0126582,108.259,108.259,0.756297,,
10.6537,88,0.0113636,108.25,108.25,0.757302,,
10.6678,74,0.0135135,108.242,108.242,0.758306,,
10.682,96,0.0104167,108.233,108.233,0.75931,,
10.6962,87,0.0114943,108.225,108.225,0.760315,,
10.7104,73,0.0136986,108.216,108.216,0.761319,,
10.7245,92,0.0108696,108.208,108.208,0.762323,,
10.7387,96,0.0104167,108.199,108.199,0.763328,,
10.7529,105,0.00952381,108.191,108.191,0.764332,,
10.767,93,0.0107527,108.182,108.182,0.765336,,
10.7812,95,0.0105263,108.174,108.174,0.76634,,
10.7954,96,0.0104167,108.165,108.165,0.767345,,
10.8095,97,0.0103093,108.157,108.157,0.768349,,
10.8237,90,0.0111111,108.148,108.148,0.769353,,
10.8379,90,0.0111111,108.14,108.14,0.770357,,
10.8521,111,0.00900901,108.131,108.131,0.771362,,
10.8662,96,0.0104167,108.123,108.123,0.772366,,
10.8804,88,0.0113636,108.114,108.114,0.77337,,
