x,y_obs,weight,y_calc,y_bkg,Q,phase 1,phase 2
10.0019,80,0.0125,108.407,108.407,0.71109,1.804382688,2.003368706
10.016,86,0.0116279,108.399,108.399,0.712095,2.461609855,3.271487047
10.0302,88,0.0113636,108.391,108.391,0.7131,2.638873968,3.836169504
10.0444,75,0.0133333,108.383,108.383,0.714105,2.900194929,4.006750188
10.0585,84,0.0119048,108.375,108.375,0.71511,3.01104864,4.626588889
10.0727,88,0.0113636,108.368,108.368,0.716114,3.196785149,5.041713721
10.0869,102,0.00980392,108.36,108.36,0.717119,3.608765375,
10.1011,83,0.0120482,108.352,108.352,0.718124,3.921060213,
10.1152,85,0.0117647,108.344,108.344,0.719129,4.059823156,
10.1294,104,0.00961538,108.335,108.335,0.720134,4.145264923,
10.1436,104,0.00961538,108.327,108.327,0.721138,4.156233046,
10.1577,98,0.0102041,108.319,108.319,0.722143,4.470649771,
10.1719,102,0.00980392,108.311,108.311,0.723148,4.57065303,
10.1861,108,0.00925926,108.303,108.303,0.724153,4.699957593,
10.2002,92,0.0108696,108.295,108.295,0.725157,4.923200422,
10.2144,95,0.0105263,108.287,108.287,0.726162,5.068065841,
10.2286,94,0.0106383,108.279,108.279,0.727167,5.088093829,
10.2427,85,0.0117647,108.271,108.271,0.728171,5.262784098,
10.2569,114,0.00877193,108.263,108.263,0.729176,5.277770103,
10.2711,83,0.0120482,108.255,108.255,0.730181,,
10.2853,96,0.0104167,108.247,108.247,0.731185,,
10.2994,82,0.0121951,108.239,108.239,0.73219,,
10.3136,109,0.00917431,108.231,108.231,0.733195,,
10.3278,101,0.00990099,108.223,108.223,0.734199,,
10.3419,107,0.00934579,108.215,108.215,0.735204,,
10.3561,105,0.00952381,108.207,108.207,0.736209,,
10.3703,80,0.0125,108.199,108.199,0.737213,,
10.3844,130,0.00769231,108.191,108.191,0.738218,,
10.3986,90,0.0111111,108.183,108.183,0.739222,,
10.4128,84,0.0119048,108.175,108.175,0.740227,,
10.427,98,0.0102041,108.167,108.167,0.741231,,
10.4411,106,0.00943396,108.159,108.159,0.742236,,
10.4553,105,0.00952381,108.15,108.15,0.74324,,
10.4695,90,0.0111111,108.142,108.142,0.744245,,
10.4836,86,0.0116279,108.134,108.134,0.745249,,
10.4978,95,0.0105263,108.126,108.126,0.746253,,
10.512,88,0.0113636,108.118,108.118,0.747258,,
10.5261,85,0.0117647,108.11,108.11,0.748262,,
10.5403,112,0.00892857,108.102,108.102,0.749267,,
10.5545,95,0.0105263,108.094,108.094,0.750271,,
10.5686,68,0.0147059,108.086,108.086,0.751275,,
10.5828,108,0.00925926,108.078,108.078,0.75228,,
